ts_code,fund_name,management,custodian,fund_type,found_date,due_date,list_date,issue_date,delist_date,issue_amount,m_fee,c_fee,duration_year,p_value,min_amount,exp_return,benchmark,status,invest_type,type,trustee,purc_startdate,redm_startdate,market,C_flg
012596.OF,汇添富中证800ETF联接A,汇添富基金,平安银行,股票型,20210929,,,20210707,,1.653,0.15,0.05,,1.0,0.001,,中证800指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211012,20211012,O,0
013093.OF,汇添富中证沪港深科技龙头A,汇添富基金,中国工商银行,股票型,20210929,,,20210922,,0.1142,0.5,0.1,,1.0,0.001,,中证沪港深科技龙头指数收益率*95%+银行人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211021,20211021,O,0
013639.OF,光大保德信中证500指数增强A,光大保德信基金,上海银行,股票型,20210929,,,20210915,,4.2541,1.0,0.15,,1.0,0.0001,,中证500指数收益率*95%+活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211022,20211112,O,0
012779.OF,博时移动互联主题A,博时基金,交通银行,混合型,20210929,,,20210726,,1.6738,1.2,0.2,,1.0,0.001,,中证移动互联网指数收益率*70%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211015,20211015,O,0
013569.OF,天弘永利优佳A,天弘基金,北京银行,混合型,20210929,,,20210913,,33.8016,0.8,0.2,,1.0,0.001,,中债新综合指数(财富)收益率*90%+沪深300指数收益率*8%+中证港股通综合指数收益率*2%,L,混合型,契约型开放式,,20211228,20211228,O,0
012415.OF,德邦上证G60综指增强A,德邦基金,浙商银行,股票型,20210929,,,20210628,,0.1394,1.0,0.18,,1.0,0.001,,上证G60创新综合指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211230,20211230,O,0
011969.OF,建信港股通精选A,建信基金,平安银行,混合型,20210929,,,20210913,,0.7857,1.5,0.25,,1.0,0.001,,恒生指数收益率(使用估值汇率折算)*60%+中债综合全价(总值)指数收益率*30%+沪深300指数收益率*10%,L,混合型,契约型开放式,,20211018,20211018,O,0
970046.OF,东海证券海睿健行A,东海证券,中国光大银行,混合型,20210929,,,20210929,,,1.2,0.2,,1.0,,,中证800指数收益率*60%+中国债券总指数收益率*40%,L,混合型,契约型开放式,,,20211013,O,0
012638.OF,富国智优精选3个月持有A,富国基金,中国民生银行,混合型,20210929,,,20210910,,6.094,1.0,0.2,,1.0,0.001,,中证800指数收益率*80%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20211105,20211230,O,0
013529.OF,南方富誉稳健养老一年A,南方基金,浦发银行,混合型,20210929,,,20210915,,40.4011,0.6,0.15,,1.0,0.0001,,上证国债指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20211227,20220929,O,0
011805.OF,嘉实优质核心两年持有A,嘉实基金,中国银行,混合型,20210928,,,20210901,,11.3094,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+中债综合财富指数收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20220104,,O,0
012785.OF,鹏华品质精选A,鹏华基金,中国银行,混合型,20210928,,,20210908,,21.0392,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+中证综合债指数收益率*20%+恒生指数收益率(经汇率调整)*10%,L,混合型,契约型开放式,,20211227,20211227,O,0
013029.OF,嘉实鑫泰一年持有A,嘉实基金,招商银行,混合型,20210928,,,20210913,,1.8802,0.6,0.15,,1.0,0.0001,,中债综合财富指数收益率*85%+中证800股票指数收益率*10%+恒生指数收益率(人民币计价)*5%,L,混合型,契约型开放式,,20211215,20220928,O,0
012301.OF,易方达核心智造,易方达基金,平安银行,混合型,20210928,,,20210915,,31.1795,1.2,0.2,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211222,20211222,O,0
013339.OF,创金合信芯片产业A,创金合信基金,中国农业银行,股票型,20210928,,,20210824,,0.2691,1.5,0.25,,1.0,0.001,,中证芯片产业指数收益率*80%+中债综合全价指数收益率*10%+中证港股通综合指数收益率*10%,L,股票型,契约型开放式,,20211021,20211021,O,0
013402.OF,华夏恒生科技ETF联接A,华夏基金,中国建设银行,股票型,20210928,,,20210910,,0.194,0.5,0.15,,1.0,0.0001,,恒生科技指数收益率(经人民币汇率调整)*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211015,20211015,O,0
013343.OF,平安盈欣稳健1年持有A,平安基金,中国工商银行,混合型,20210928,,,20210910,,4.0442,0.6,0.15,,1.0,0.0001,,中债综合全价指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20211227,20220928,O,0
011913.OF,华夏永泓一年持有A,华夏基金,中国光大银行,混合型,20210928,,,20210901,,12.8625,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20211201,,O,0
012151.OF,华泰柏瑞中证港股通50ETF联接A,华泰柏瑞基金,招商银行,股票型,20210928,,,20210909,,0.1137,0.5,0.1,,1.0,0.0001,,中证港股通50指数收益率(使用估值汇率折算)*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211101,20211101,O,0
013371.OF,民生加银新能源智选A,民生加银基金,中信银行,混合型,20210928,,,20210913,,0.2768,1.5,0.25,,1.0,0.001,,中证新能源指数收益率*75%+中债新综合财富指数收益率*25%,L,混合型,契约型开放式,,20211223,20211223,O,0
970051.OF,银河安丰九个月滚动持有,银河金汇,中国光大银行,混合型,20210928,,,20210928,,,0.4,0.1,,1.0,,,中债综合指数收益率*85%+沪深300指数收益率*15%,L,混合型,契约型开放式,,20211108,20220628,O,0
013353.OF,鹏华上华一年持有A,鹏华基金,上海银行,混合型,20210928,,,20210913,,37.0347,0.8,0.15,,1.0,0.0001,,中证综合债指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20211227,20220928,O,0
011818.OF,鹏扬景阳一年持有A,鹏扬基金,中国建设银行,混合型,20210928,,,20210902,,17.6066,0.8,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211018,20220927,O,0
012572.OF,恒越乐享添利A,恒越基金,广发证券,混合型,20210928,,,20210913,,1.4588,0.8,0.15,,1.0,0.001,,中债综合指数(全价)收益率*80%+沪深300指数收益率*15%+中证香港100指数收益率*5%,L,混合型,契约型开放式,,20211228,20211228,O,0
013150.OF,华宝稳健目标风险三个月,华宝基金,中国建设银行,混合型,20210928,,,20210730,,0.2443,0.8,0.2,,1.0,0.0001,,上证国债指数收益率*70%+中证800指数收益率*30%,L,混合型,契约型开放式,,20211206,,O,0
012025.OF,兴业聚兴A,兴业基金,招商银行,混合型,20210928,,,20210915,,4.884,0.6,0.2,,1.0,0.0001,,中债综合(全价)指数收益率*90%+沪深300指数收益率*10%,L,混合型,契约型开放式,,20211227,20211227,O,0
013031.OF,民生加银中证800指数增强A,民生加银基金,交通银行,股票型,20210928,,,20210906,,0.2081,1.0,0.2,,1.0,0.001,,中证800指数收益率*95%+银行活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211020,20211020,O,0
012033.OF,广发睿盛A,广发基金,交通银行,混合型,20210927,,,20210908,,4.3811,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+人民币计价的恒生指数收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211129,20211129,O,0
013091.OF,摩根均衡优选A,摩根基金,招商银行,混合型,20210927,,,20210906,,9.9401,1.5,0.25,,1.0,0.0001,,中证800指数收益率*65%+中证港股通综合指数收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211027,20211027,O,0
011860.OF,南方中证1000ETF联接A,南方基金,招商银行,股票型,20210927,,,20210903,,0.9348,0.5,0.1,,1.0,0.0001,,中证1000指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211018,20211018,O,0
013242.OF,北信瑞丰优势行业,北信瑞丰基金,中国建设银行,股票型,20210927,,,20210901,,2.1106,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*80%+中证综合债指数收益率*20%,L,股票型,契约型开放式,,20211022,20211022,O,0
011663.OF,华安研究驱动A,华安基金,中信银行,混合型,20210926,,,20210729,,19.2513,1.2,0.2,,1.0,0.0001,,中证800指数收益率*65%+中债综合全价指数收益率*20%+中证港股通综合指数收益率*15%,L,混合型,契约型开放式,,20211224,20211224,O,0
013023.OF,平安均衡优选1年持有A,平安基金,中国银行,混合型,20210924,,,20210818,,4.7385,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*70%+中证全债指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211123,20220926,O,0
013175.OF,海富通碳中和主题A,海富通基金,招商银行,混合型,20210924,,,20210906,,8.119,1.5,0.25,,1.0,0.001,,中证环保产业指数*75%+中证全债指数收益率*20%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20211223,20211223,O,0
013247.OF,交银瑞卓三年持有,交银施罗德基金,中国建设银行,混合型,20210924,,,20210902,,21.1671,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*65%+中证综合债券指数收益率*30%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211220,,O,0
012005.OF,信澳恒盛A,信达澳亚基金,交通银行,混合型,20210924,,,20210901,,2.4124,1.2,0.15,,1.0,0.001,,中债综合财富(总值)指数收益率*70%+中证800指数收益率*20%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211118,20211118,O,0
011836.OF,银华智能建造,银华基金,中国农业银行,股票型,20210924,,,20210906,,3.0898,1.2,0.2,,1.0,0.001,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率调整)*20%+中债综合指数收益率*20%,L,股票型,契约型开放式,,20211223,20211223,O,0
013192.OF,华商嘉悦稳健养老目标一年持有A,华商基金,中国银行,混合型,20210923,,,20210827,,11.266,0.6,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*70%+中证800指数收益率*20%+中证港股通综合指数收益率*5%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20211125,20220923,O,0
011710.OF,中欧睿泽A,中欧基金,招商银行,混合型,20210923,,,20210730,,10.2588,1.2,0.2,,1.0,0.0001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O,0
012173.OF,国泰兴泽优选一年持有期A,国泰基金,兴业银行,混合型,20210923,,,20210906,,10.6267,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*65%+中证港股通综合指数(人民币)收益率*20%+上证国债指数收益率*15%,L,混合型,契约型开放式,,20211209,20220926,O,0
011891.OF,易方达先锋成长A,易方达基金,交通银行,混合型,20210923,,,20210901,,5.4327,1.2,0.2,,1.0,0.0001,,中证500指数收益率*65%+中证港股通综合指数收益率*20%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O,0
011862.OF,南方蓝筹成长A,南方基金,中国银行,混合型,20210923,,,20210730,,17.4388,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+上证国债指数收益率*30%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O,0
011893.OF,易方达长期价值A,易方达基金,中国农业银行,混合型,20210923,,,20210906,,13.108,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*70%+中证港股通综合指数收益率*15%+中债总指数收益率*15%,L,混合型,契约型开放式,,20211220,20211220,O,0
012421.OF,华夏优加生活A,华夏基金,中国工商银行,混合型,20210923,,,20210906,,11.9781,1.2,0.2,,1.0,0.0001,,中证800指数收益率*60%+中证港股通综合指数收益率*20%+上证国债指数收益率*20%,L,混合型,契约型开放式,,20211206,20211206,O,0
011361.OF,华夏博锐一年持有A,华夏基金,招商银行,混合型,20210923,,,20210622,,0.1313,1.2,0.2,,1.0,0.0001,,上证国债指数收益率*70%+沪深300指数收益率*25%+经汇率调整的恒生指数收益率*5%,L,混合型,契约型开放式,,20211222,,O,0
012311.OF,民生加银康泰养老目标日期2040三年持有A,民生加银基金,交通银行,混合型,20210923,,,20210823,,2.4702,0.9,0.2,,1.0,0.001,,沪深300指数收益率*50%+中债综合全价(总值)指数收益率*45%+银行活期存款利率(税后)*5%,L,混合型,契约型开放式,,20211115,,O,0
012186.OF,招商品质成长A,招商基金,中国光大银行,混合型,20210923,,,20210906,,18.9181,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中债综合(全价)指数收益率*30%+恒生综合指数收益率(经汇率调整后)*10%,L,混合型,契约型开放式,,20211223,20211223,O,0
012913.OF,方正富邦趋势领航A,方正富邦基金,中国建设银行,混合型,20210923,,,20210906,,11.9644,1.5,0.25,,1.0,0.0001,,沪深300指数收益率*60%+中证全债指数收益率*30%+恒生指数收益率*10%,L,混合型,契约型开放式,,20211222,20211222,O,0
011330.OF,鹏华精选群英一年持有,鹏华基金,招商银行,混合型,20210923,,,20210622,,3.551,1.2,0.2,,1.0,0.001,,中证800指数收益率*60%+中债综合指数收益率*40%,L,灵活配置型,契约型开放式,,20211222,20220923,O,0
010711.OF,华富国潮优选,华富基金,中国建设银行,混合型,20210923,,,20210909,,0.3347,1.2,0.2,,1.0,0.001,,中证内地消费主题指数收益率*65%+中证全债指数收益率*25%+中证港股通消费主题指数收益率*10%,L,混合型,契约型开放式,,20211105,20211105,O,0
013160.OF,创金合信碳中和A,创金合信基金,中信银行,混合型,20210922,,,20210823,,7.625,1.5,0.25,,1.0,0.1,,中证内地低碳经济指数收益率*60%+恒生指数收益率*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20211201,20211201,O,0
012535.OF,万家全球成长一年持有A,万家基金,中国工商银行,混合型,20210922,,,20210903,,17.4278,1.8,0.3,,1.0,0.001,,沪深300指数收益率*50%+恒生指数收益率(经估值汇率调整)*20%+中债综合指数收益率*20%+纳斯达克100指数收益率(经估值汇率调整)*10%,L,混合型,契约型开放式,,20211108,20220922,O,0
539001.OF,建信纳斯达克100人民币A,建信基金,中国工商银行,股票型,20210922,,,20210922,,,0.8,0.25,,1.0,,,纳斯达克100指数收益率(经汇率调整)*95%+活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210922,20210922,O,0
013450.OF,博时凤凰领航A,博时基金,浙商银行,混合型,20210922,,,20210913,,27.6044,1.2,0.2,,1.0,0.001,,中证浙江100指数收益率*65%+中债综合财富(总值)指数收益率*20%+中证港股通综合指数(CNY)收益率*15%,L,混合型,契约型开放式,,20211222,20211222,O,0
011572.OF,鹏华安荣A,鹏华基金,中信银行,混合型,20210922,,,20210622,,1.2006,0.6,0.1,,1.0,0.001,,中证综合债指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率*5%(经汇率估值调整),L,混合型,契约型开放式,,20210928,20210928,O,0
011681.OF,汇添富均衡精选六个月持有A,汇添富基金,中国农业银行,混合型,20210917,,,20210707,,1.9361,1.2,0.2,,1.0,0.001,,中证800指数收益率*50%+中债综合指数收益率*30%+恒生指数收益率(使用估值汇率折算)*20%,L,混合型,契约型开放式,,20211216,20220317,O,0
013139.OF,上银恒泰稳健养老目标一年持有期A,上银基金,兴业银行,混合型,20210917,,,20210816,,0.6186,0.8,0.2,,1.0,0.0001,,上证国债指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20210924,20220919,O,0
012509.OF,兴证全球安悦稳健养老一年持有A,兴证全球基金,招商银行,混合型,20210917,,,20210913,,63.4421,0.6,0.15,,1.0,0.0001,,中债综合(全价)指数收益率*75%+中证偏股型基金指数收益率*20%+恒生指数收益率(使用估值汇率折算)*5%,L,混合型,契约型开放式,,20211209,20220919,O,0
013260.OF,太平睿享A,太平基金,中信银行,混合型,20210917,,,20210823,,2.8026,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20211025,20211025,O,0
013417.OF,博时核心资产精选A,博时基金,中国工商银行,混合型,20210917,,,20210902,,9.4738,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中债综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20211217,20211217,O,0
012113.OF,融通稳健增长一年持有A,融通基金,中国农业银行,混合型,20210916,,,20210901,,7.1151,0.5,0.2,,1.0,0.0001,,中债综合全价(总值)指数收益率*80%+沪深300指数收益率*15%+中证香港100指数收益率*5%,L,混合型,契约型开放式,,20211028,20220916,O,0
011921.OF,富国均衡成长三年持有A,富国基金,招商银行,混合型,20210916,,,20210901,,8.3405,1.2,0.2,,1.0,0.001,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合全价指数收益率*20%,L,混合型,契约型开放式,,20211116,20240918,O,0
012943.OF,广发稳睿六个月持有A,广发基金,广发银行,混合型,20210916,,,20210901,,34.4606,0.7,0.15,,1.0,0.0001,,中债-新综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+人民币计价的恒生指数收益率*5%,L,混合型,契约型开放式,,20211215,20220316,O,0
011731.OF,国投瑞银安睿A,国投瑞银基金,中国农业银行,混合型,20210916,,,20210823,,1.3005,0.6,0.1,,1.0,0.0001,,中债综合指数收益率*75%+沪深300指数收益率*20%+中证港股通综合指数收益率*5%,L,混合型,契约型开放式,,20211018,20211018,O,0
012498.OF,汇添富中证500基本面增强A,汇添富基金,中国建设银行,股票型,20210916,,,20210615,,1.6645,1.2,0.2,,1.0,0.001,,中证500指数收益率*95%+活期存款利率(税后)*5%,L,增强指数型,契约型开放式,,20211018,20211018,O,0
013445.OF,西藏东财中证芯片产业A,西藏东财基金,兴业银行,股票型,20210916,,,20210906,,1.793,0.5,0.05,,1.0,0.0001,,中证芯片产业指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211101,20211101,O,0
012045.OF,大成医药健康A,大成基金,中国农业银行,股票型,20210916,,,20210901,,3.5866,1.2,0.2,,1.0,0.0001,,中证医药卫生指数收益率*65%+中证综合债券指数收益率*20%+恒生指数收益率*15%,L,股票型,契约型开放式,,20211116,20211116,O,0
013395.OF,华夏新能源车龙头A,华夏基金,招商银行,混合型,20210915,,,20210823,,0.762,1.2,0.2,,1.0,0.0001,,中证新能源汽车产业指数收益率*60%+中证港股通综合指数收益率*20%+中债综合(全价)指数收益率*20%,L,混合型,契约型开放式,,20211014,20211014,O,0
012888.OF,工银兴瑞一年持有A,工银瑞信基金,兴业银行,混合型,20210915,,,20210827,,23.6121,1.2,0.2,,1.0,0.0001,,中证700指数收益率*75%+中债综合财富(总值)指数收益率*20%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20211103,20220916,O,0
012776.OF,华夏聚鑫优选六个月持有期A,华夏基金,招商银行,混合型,20210915,,,20210903,,23.8155,0.6,0.2,,1.0,0.0001,,中债综合(全价)指数收益率*80%+沪深300指数收益率*20%,L,混合型,契约型开放式,,20211018,20220315,O,0
011771.OF,国寿安保稳隆A,国寿安保基金,中国农业银行,混合型,20210915,,,20210719,,4.3003,0.6,0.1,,1.0,0.001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%,L,混合型,契约型开放式,,20210922,20210922,O,0
011481.OF,广发瑞锦一年定开,广发基金,华夏银行,混合型,20210915,,,20210722,,4.1784,1.0,0.1,,1.0,0.0001,,沪深300指数收益率*65%+%+中证全债指数收益率*20%+人民币计价的恒生指数收益率*15%,L,混合型,契约型开放式,,20220915,20220915,O,0
011748.OF,华泰柏瑞景气成长A,华泰柏瑞基金,中国银行,混合型,20210915,,,20210806,,3.8671,1.5,0.25,,1.0,0.001,,中证800指数收益率*70%+银行活期存款利率(税后)*20%+中证港股通综合指数(人民币)收益率*10%,L,混合型,契约型开放式,,20211214,20211214,O,0
011427.OF,广发价值驱动A,广发基金,浦发银行,混合型,20210915,,,20210713,,4.7274,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*80%+中债-新综合财富(总值)指数收益率*20%,L,混合型,契约型开放式,,20211115,20211115,O,0
013171.OF,华夏恒生互联网科技业ETF联接A,华夏基金,中国建设银行,股票型,20210914,,,20210823,,0.4411,0.5,0.15,,1.0,0.0001,,经人民币汇率调整的恒生互联网科技业指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20210923,20210923,O,0
011872.OF,中邮悦享6个月持有A,中邮基金,中国邮政储蓄银行,混合型,20210914,,,20210902,,48.1975,0.8,0.2,,1.0,0.0001,,中债综合指数收益率*80%+沪深300指数收益率*15%+恒生综合指数收益率(经汇率估值调整)*5%,L,混合型,契约型开放式,,20210928,20220314,O,0
011554.OF,海富通欣利A,海富通基金,华夏银行,混合型,20210914,,,20210723,,1.2041,0.6,0.1,,1.0,0.001,,中证综合债指数收益率*75%+沪深300指数收益率*20%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210922,20210922,O,0
012953.OF,华泰柏瑞恒利A,华泰柏瑞基金,兴业银行,混合型,20210914,,,20210906,,1.7001,0.6,0.1,,1.0,0.0001,,上证国债指数收益率*80%+沪深300指数收益率*15%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,20210917,20210917,O,0
012971.OF,东吴消费成长A,东吴基金,交通银行,混合型,20210914,,,20210816,,1.5372,1.2,0.2,,1.0,0.0001,,中证内地消费主题指数收益率*70%+中债综合指数(全价)收益率*20%+恒生指数收益率*10%,L,混合型,契约型开放式,,20211213,20211213,O,0
013147.OF,汇添富碳中和主题A,汇添富基金,中国工商银行,混合型,20210914,,,20210830,,36.8123,1.2,0.2,,1.0,0.001,,中证内地低碳经济主题指数收益率*70%+中债综合指数收益率*30%,L,混合型,契约型开放式,,20211213,20211213,O,0
012198.OF,国金核心资产一年持有A,国金基金,浙商银行,混合型,20210913,,,20210816,,1.9205,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*60%+中证港股通综合指数(人民币)收益率*20%+中证全债指数收益率*20%,L,混合型,契约型开放式,,20211213,,O,0
011249.OF,嘉实稳裕A,嘉实基金,华夏银行,混合型,20210913,,,20210622,,0.5014,0.6,0.2,,1.0,0.0001,,中债综合财富指数收益率*80%+沪深300指数收益率*15%+恒生指数收益率*5%(人民币计价),L,混合型,契约型开放式,,20211015,20211015,O,0
011788.OF,工银聚益A,工银瑞信基金,华夏银行,混合型,20210913,,,20210825,,4.314,0.5,0.1,,1.0,0.0001,,中债综合财富(总值)指数收益率*70%+沪深300指数收益率*25%+恒生指数收益率(经汇率调整)*5%,L,混合型,契约型开放式,,20210929,20210929,O,0
012190.OF,汇添富添福盈和稳健养老目标一年持有A,汇添富基金,中国民生银行,混合型,20210913,,,20210907,,44.2424,0.6,0.15,,1.0,0.001,,中债综合指数收益率*75%+中证800指数收益率*25%,L,混合型,契约型开放式,,20211208,20220913,O,0
012406.OF,永赢长远价值A,永赢基金,交通银行,混合型,20210913,,,20210906,,72.3512,1.2,0.2,,1.0,0.001,,沪深300指数收益率*75%+中债-综合全价(总值)指数收益率*20%+恒生指数收益率(按估值汇率折算)*5%,L,混合型,契约型开放式,,20211210,20211210,O,0
013189.OF,嘉实稳健添利一年持有,嘉实基金,华夏银行,混合型,20210913,,,20210908,,40.4515,0.6,0.2,,1.0,0.0001,,中债综合财富指数收益率*80%+中证800指数收益率*15%+恒生指数收益率(人民币计价)*5%,L,混合型,契约型开放式,,20211210,20220913,O,0
110011.OF,易方达优质精选,易方达基金,中国银行,混合型,20210910,,,20210910,,,1.2,0.2,,1.0,,,沪深300指数收益率*50%+中证香港300指数收益率*30%+中债总指数收益率*20%,L,混合型,契约型开放式,,20220207,20210910,O,0
012223.OF,信澳成长精选A,信达澳亚基金,浙商银行,混合型,20210910,,,20210818,,19.0588,1.5,0.25,,1.0,0.001,,中证800指数收益率*80%+中证港股通综合指数收益率*10%+银行活期存款利率(税后)*10%,L,混合型,契约型开放式,,20211119,20211119,O,0
011793.OF,建信智能汽车,建信基金,招商银行,股票型,20210910,,,20210826,,4.3047,1.5,0.25,,1.0,0.001,,中证智能电动汽车指数收益率*70%+中债综合全价(总值)指数收益率*20%+中证港股通综合指数收益率*10%,L,股票型,契约型开放式,,20211201,20211201,O,0
013041.OF,鹏扬景浦一年持有A,鹏扬基金,浦发银行,混合型,20210909,,,20210901,,16.0151,0.7,0.2,,1.0,0.001,,中债综合财富(总值)指数收益率*85%+沪深300指数收益率*10%+恒生指数收益率*5%,L,混合型,契约型开放式,,20211206,20220908,O,0
013013.OF,华夏中证新能源汽车ETF联接A,华夏基金,中国银行,股票型,20210909,,,20210825,,0.7931,0.5,0.1,,1.0,0.0001,,中证新能源汽车指数收益率*95%+人民币活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211013,20211013,O,0
012979.OF,大成恒生科技ETF联接A,大成基金,中国银行,股票型,20210909,,,20210825,,0.1487,0.5,0.1,,1.0,0.0001,,恒生科技指数收益率*95%+银行活期存款利率(税后)*5%,L,被动指数型,契约型开放式,,20211011,20211011,O,0
012143.OF,新沃内需增长A,新沃基金,中国银河,混合型,20210909,,,20210615,,0.4601,1.5,0.25,,1.0,0.0001,,中证800指数收益率*70%+中证综合债指数收益率*30%,L,混合型,契约型开放式,,20211008,20211008,O,0
012645.OF,建信中证全指证券公司ETF联接A,建信基金,中信证券,股票型,20210909,,,20210809,,0.1332,0.2,0.05,,1.0,0.001,,中证全指证券公司指数收益率*95%+银行活期存款收益率(税后)*5%,L,被动指数型,契约型开放式,,20211206,20211206,O,0
011600.OF,银华华智三个月持有期,银华基金,兴业银行,混合型,20210908,,,20210730,,6.7568,0.6,0.2,,1.0,0.001,,中证全债指数收益率*70%+沪深300指数收益率*30%,L,混合型,契约型开放式,,20211208,20211208,O,0
013055.OF,嘉实策略机遇A,嘉实基金,招商银行,混合型,20210908,,,20210906,,0.1078,1.2,0.2,,1.0,0.0001,,中证800指数收益率*80%+恒生指数收益率*10%+中债综合财富指数收益率*10%,L,混合型,契约型开放式,,20211207,20211207,O,0
013250.OF,红土创新智能制造,红土创新基金,华夏银行,混合型,20210908,,,20210819,,2.3171,1.5,0.2,,1.0,0.001,,中证智能制造主题指数收益率*60%+中证全债指数收益率*30%+中证港股通综合指数收益率*10%,L,混合型,契约型开放式,,20211207,20211207,O,0
012712.OF,建信沪深300红利ETF联接A,建信基金,中信证券,股票型,20210908,,,20210809,,0.1199,0.5,0.1,,1.0,0.001,,沪深300红利指数收益率*95%+银行活期存款收益率(税后)*5%,L,被动指数型,契约型开放式,,20211206,20211206,O,0
013067.OF,富安达中小盘六个月持有,富安达基金,交通银行,混合型,20210908,,,20210816,,2.8914,1.5,0.25,,1.0,0.001,,中证500指数收益率*70%+上证国债指数收益率*30%,L,混合型,契约型开放式,,20211018,20220309,O,0
012373.OF,富国稳健恒盛12个月持有A,富国基金,上海银行,混合型,20210907,,,20210823,,11.8144,1.2,0.2,,1.0,0.001,,沪深300指数收益率*65%+中债综合全价指数收益率*25%+恒生指数收益率(使用估值汇率折算)*10%,L,混合型,契约型开放式,,20211213,20220908,O,0
012308.OF,国泰价值远见两年封闭运作A,国泰基金,中国工商银行,混合型,20210907,,,20210804,,1.8961,1.2,0.2,,1.0,0.0001,,沪深300指数收益率*75%+中证综合债指数收益率*20%+中证港股通综合指数(人民币)收益率*5%,L,混合型,契约型开放式,,,,O,0
